Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1986","1986","kg/ha","9.11","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1987","1987","kg/ha","9.31","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1988","1988","kg/ha","10.74","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1989","1989","kg/ha","8.57","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1990","1990","kg/ha","8.98","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1991","1991","kg/ha","9.4","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1992","1992","kg/ha","8.28","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1993","1993","kg/ha","7.6","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1994","1994","kg/ha","8.56","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1995","1995","kg/ha","5.58","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1996","1996","kg/ha","12.23","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1997","1997","kg/ha","9.63","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1998","1998","kg/ha","10.28","E","Estimated value"
"EF","Fertilizers indicators","404","Kenya","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1999","1999","kg/ha","9.72","E","Estimated value"
