Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","1994","1994","kg/1000 Int.$","0.55","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","1995","1995","kg/1000 Int.$","0.72","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","1996","1996","kg/1000 Int.$","1.04","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","1997","1997","kg/1000 Int.$","0.83","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","1998","1998","kg/1000 Int.$","0.62","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","1999","1999","kg/1000 Int.$","0.43","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","2000","2000","kg/1000 Int.$","0.3","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","2001","2001","kg/1000 Int.$","0.21","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","2002","2002","kg/1000 Int.$","0.21","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","2003","2003","kg/1000 Int.$","0.2","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","2004","2004","kg/1000 Int.$","0.19","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","2005","2005","kg/1000 Int.$","0.17","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","2006","2006","kg/1000 Int.$","0.16","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","2007","2007","kg/1000 Int.$","0.16","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","2008","2008","kg/1000 Int.$","0.16","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","2009","2009","kg/1000 Int.$","0.15","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","2010","2010","kg/1000 Int.$","0.14","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","2011","2011","kg/1000 Int.$","0.15","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","2012","2012","kg/1000 Int.$","0.14","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","2013","2013","kg/1000 Int.$","0.14","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","2014","2014","kg/1000 Int.$","0.14","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","2015","2015","kg/1000 Int.$","0.14","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","2016","2016","kg/1000 Int.$","0.13","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","2017","2017","kg/1000 Int.$","0.14","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","2018","2018","kg/1000 Int.$","0.15","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","2019","2019","kg/1000 Int.$","0.13","E","Estimated value"
"EP","Pesticides indicators","404","Kenya","5173","Use per value of agricultural production","1357","Pesticides (total)","2020","2020","kg/1000 Int.$","0.12","E","Estimated value"
