Variable:,pr
,Kenya,Central,Coast,Eastern,Nairobi,"North Eastern",Nyanza,"Rift Valley",Western
2012,816.77,1407.00,641.34,782.50,1014.90,423.28,1793.33,1014.69,2061.61
2013,768.33,1179.11,662.54,667.40,902.93,432.39,1721.83,964.06,2044.80
2014,627.23,986.18,668.18,566.61,756.44,376.48,1346.02,708.85,1411.90
2015,808.17,1425.19,822.13,751.34,1153.08,468.86,1677.88,918.33,1805.37
2016,712.17,1248.53,667.78,648.40,1073.65,424.09,1694.38,817.18,1656.61
2017,1058.57,1560.75,1013.04,1111.75,1102.74,726.64,1606.17,1138.31,2010.36
2018,835.41,1489.22,777.77,713.73,1142.09,504.29,1680.51,1023.19,1907.17
2019,1146.13,1855.09,1140.74,1110.61,1477.48,671.69,2395.66,1284.96,2520.05
2020,808.51,1347.51,722.04,675.04,1018.38,390.90,1780.47,1071.78,2047.45
2021,1029.13,1881.92,1107.84,947.41,1452.53,644.70,2127.76,1114.82,2233.59
